cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm
0.03,116,256,3,47,relu,halve,0.0,80,0.0006433069238226985,0.5016515851020813,0.21759521984460214,3,0.9302325581395349,0.12274906956700798,6.679766793846646e-05,0.597212721021153,leaf,0.5020073773065493,batchnorm
0.03,117,768,3,52,relu,constant,0.3,150,0.0003975865275869556,0.5540778636932373,0.03832036406162542,13,0.5164728682170543,0.012065310733887544,7.43783380932505e-06,0.6252097855246919,leaf,0.39405792993006145,batchnorm
0.03,119,768,3,45,relu,halve,0.3,150,1.2884175207635147e-05,0.9437406659126282,0.06613093753760908,2,0.5794573643410853,0.0388636229154045,3.7304342032436425e-05,1.5752421636188676,leaf,0.33216158419889863,batchnorm
0.1,120,768,3,58,relu,constant,0.3,150,0.0009057326066269455,0.8238151669502258,0.23969812194997941,3,0.8023255813953488,0.06106631017728663,4.517408364514684e-06,0.7472454435968825,leaf,0.3612784615654638,batchnorm
0.03,121,768,3,56,relu,constant,0.3,150,0.00044213211607308005,0.474942147731781,0.039973409422202996,17,0.7829457364341085,0.03199522092148997,3.136583565246969e-05,0.5277073743302085,leaf,0.3359291817407354,batchnorm
0.03,122,768,3,54,relu,constant,0.3,150,0.0005745517926094275,0.5414954423904419,0.01802286485650371,13,0.7829457364341085,0.040716353346289216,2.316853247506892e-05,0.5389943871964085,leaf,0.34676335042092493,batchnorm
0.03,123,768,3,48,relu,constant,0.3,150,0.0005803935998457233,0.5160443782806396,0.011315342672673733,18,0.5949612403100775,0.011709336039322785,1.8146598294667215e-05,0.5878851155716924,leaf,0.3503238475845343,batchnorm
0.03,124,768,3,48,relu,constant,0.3,150,0.0005834117833563876,0.4687897861003876,0.003332306185446145,19,0.6724806201550387,0.013547769547714415,2.106359857383759e-05,0.5821387740110574,leaf,0.3028943758638206,batchnorm
0.03,125,768,3,47,relu,halve,0.3,150,0.0005841671377251318,0.5043903589248657,0.004905441258595275,18,0.7063953488372093,0.018821648068352993,1.6857719758346485e-05,0.5814473061004737,leaf,0.3460325636649974,batchnorm
0.03,126,768,3,46,leaky_relu,constant,0.3,150,0.0006229148520931707,0.5194005370140076,0.007049655355004959,16,0.6618217054263565,0.012091732855668525,1.6965946786547784e-05,0.5036438572086838,leaf,0.347020058975198,batchnorm
